Food,Kcal,Protein,Fat,Carbs,Fiber,Iron,Cost
Rice,130,2.7,0.3,28,0.4,0.2,5
Roti,120,3,1,22,2,1,4
Dal,116,9,0.6,20,5,3,8
Rajma,140,9,1,25,6,3,10
Chole,164,9,2,27,7,2,10
Soya Chunks,345,52,0.5,33,13,10,15
Paneer,296,21,22,6,0,0.6,40
Milk,60,3.2,3,5,0,0.2,6
Egg,155,13,11,1,0,1.2,7
Chicken,239,27,14,0,0,1.3,25
Banana,89,1.1,0.3,23,2.6,0.3,5
Spinach,23,2.9,0.4,3.6,2.2,2.7,6
Peanut,567,25,49,16,8,4.6,20
Curd,98,11,4,3.4,0,0.2,12
Poha,110,2,0.5,25,2,1,7
Upma,250,4,8,40,2,1.5,8
Bread,265,9,3.2,49,2.7,3.6,12
Oats,389,16.9,6.9,66.3,10.6,4.7,30
Besan,387,22,6.5,57.8,11.1,4.6,18
Moong Dal,347,24,1.2,63,16.3,3.9,12
Masoor Dal,358,26,1.1,60,11.5,7.6,14
Toor Dal,343,22.3,1.5,62.2,16.3,2.7,16
Urad Dal,341,25,1.6,58.9,18.3,7.5,18
Potato,77,2,0.1,17,2.2,0.8,3
Onion,40,1.1,0.1,9.3,1.7,0.2,4
Tomato,18,0.9,0.2,3.9,1.2,0.3,8
Carrot,41,0.9,0.2,9.6,2.8,0.3,6
Cabbage,25,1.3,0.1,5.8,2.5,0.5,5
Cauliflower,25,1.9,0.3,5,2,0.4,8
Green Peas,81,5.4,0.4,14.5,5.7,1.5,15
Lady Finger,33,1.9,0.2,7.5,3.2,0.6,10
Bitter Gourd,17,1,0.2,3.7,2.8,0.4,12
Bottle Gourd,14,0.6,0.02,3.4,0.5,0.2,8
Ridge Gourd,20,1.2,0.2,4.9,1.8,0.4,10
Fish,206,22,12,0,0,1.8,35
Mutton,294,25,21,0,0,2.6,50
Prawns,99,18,1.4,1,0,3.1,60
Apple,52,0.3,0.2,13.8,2.4,0.1,15
Orange,47,0.9,0.1,11.8,2.4,0.1,12
Mango,60,0.8,0.4,15,1.6,0.2,20
Grapes,62,0.6,0.2,16,0.9,0.4,25
Papaya,43,0.5,0.3,10.8,1.7,0.3,8
Guava,68,2.6,1,14.3,5.4,0.3,10
Pomegranate,83,1.7,1.2,18.7,4,0.3,30
Almonds,579,21.2,49.9,21.6,12.5,3.7,80
Cashews,553,18.2,43.9,30.2,3.3,6.7,70
Walnuts,654,15.2,65.2,13.7,6.7,2.9,90
Groundnut Oil,884,0,100,0,0,0,18
Mustard Oil,884,0,100,0,0,0,16
Coconut Oil,862,0,99.1,0,0,0.05,25
Ghee,900,0.3,99.5,0.2,0,0.02,50
Sugar,387,0,0,99.9,0,0.1,4
Jaggery,383,0.4,0.1,98.0,0,11,8
Salt,0,0,0,0,0,0,2
Turmeric,354,7.8,9.9,64.9,21,41.4,12
Red Chili,282,12.0,17.3,50.4,34.8,17.8,15
Coriander,23,2.1,0.5,3.7,2.8,1.8,8
Cumin,375,17.8,22.3,44.2,10.5,66.4,25
Ginger,80,1.8,0.8,17.8,2,0.6,10
Garlic,149,6.4,0.5,33.1,2.1,1.7,8
Green Chili,40,1.5,0.2,8.8,4.1,1.5,6
Coconut,354,3.3,33.5,15.2,9,2.4,18
Sesame Seeds,573,17.7,49.7,23.4,11.8,14.6,35
Mustard Seeds,508,26.1,36.2,28.1,12.2,9.2,20
Fenugreek Seeds,323,23,6.4,58.4,24.6,33.5,15
Tea,1,0.3,0,0.3,0,0.02,5
Coffee,2,0.3,0.02,0.7,0,0.02,8
Biscuit,502,6.1,26.6,62.1,2,3.1,10
